krb5 1.22.2-1
krdp 6.7.3-1
krunner 6.28.0-1
kscreen 6.7.3-1
kscreenlocker 6.7.3-1
kservice 6.28.0-1
ksshaskpass 6.7.3-1
kstatusnotifieritem 6.28.0-1
ksvg 6.28.0-1
ksystemstats 6.7.3-1
ktexteditor 6.28.0-1
ktextwidgets 6.28.0-1
kunitconversion 6.28.0-1
kuserfeedback 6.28.0-1
kvantum 1.1.8-1
kwallet 6.28.0-1
kwallet-pam 6.7.3-1
kwayland 6.7.3-1
kwidgetsaddons 6.28.0-1
kwin 6.7.3-1
kwin-effect-rounded-corners 0.8.7-1
kwin-effect-rounded-corners-debug 0.8.7-1
kwin-x11 6.7.3-1
kwindowsystem 6.28.0-1
kwrited 6.7.3-1
kxmlgui 6.28.0-1
l-smash 2.14.5-4
lame 4.0-1
lapack 3.12.1-2
layer-shell-qt 6.7.3-1
lcms2 2.19.1-1
ldb 2:4.24.5-1
leancrypto 1.8.0-1
leptonica 1.87.0-1
lib32-acl 2.4.0-1
lib32-attr 2.6.0-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.21.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.2-1
lib32-fontconfig 2:2.18.2-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 16.1.1+r595+g171d15ac6959-1
lib32-gettext 1.0-1
lib32-glibc 2.44+r5+g7cba77790f32-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.195-1
lib32-libffi 3.7.1-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.70.0-1
lib32-libnghttp3 1.18.0-1
lib32-libngtcp2 1.25.0-1
lib32-libnl 3.12.0-1
lib32-libpcap 1.10.6-1
lib32-libpciaccess 0.19-1
lib32-libpng 1.6.58-2
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-5
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.4.2-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcursor 1.2.3-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.1-2
lib32-libxi 1.8.3-1
lib32-libxml2 2.15.3-1
lib32-libxrandr 1.5.5-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.1.6-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-openssl 1:3.6.3-1
lib32-p11-kit 0.26.4-1
lib32-spirv-tools 1:1.4.357.0-1
lib32-systemd 261.2-1
lib32-vkd3d 1.19-1
lib32-vulkan-icd-loader 1.4.357.0-1
lib32-vulkan-mesa-implicit-layers 1:26.1.6-1
lib32-vulkan-radeon 1:26.1.6-1
lib32-wayland 1.25.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.3-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libaccounts-glib 1.27-3
libaccounts-qt 1.17-2
libadwaita 1:1.9.3-1
libappindicator 12.10.1-1
libarchive 3.8.9-1
libasan 16.1.1+r595+g171d15ac6959-1
libass 0.17.5-1
libassuan 3.0.0-1
libastal-4-git r862.41b5029-1
libastal-4-git-debug r862.41b5029-1
libastal-battery-git r862.41b5029-1
libastal-battery-git-debug r862.41b5029-1
libastal-git r862.41b5029-1
libastal-git-debug r862.41b5029-1
libastal-io-git r862.41b5029-1
libastal-io-git-debug r862.41b5029-1
libastal-network-git r862.41b5029-1
libastal-network-git-debug r862.41b5029-1
libastal-notifd-git r862.41b5029-1
libastal-notifd-git-debug r862.41b5029-1
libastal-tray-git r862.41b5029-1
libastal-tray-git-debug r862.41b5029-1
libastal-wireplumber-git r862.41b5029-1
libastal-wireplumber-git-debug r862.41b5029-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.1.1+r595+g171d15ac6959-1
libavc1394 0.5.4-7
libavif 1.4.2-1
libayatana-appindicator 0.6.0-1
libayatana-indicator 0.9.5-1
libb2 0.98.1-3
libblake3 1.8.4-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcbor 0.14.0-1
libcloudproviders 0.4.0-1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-2
libde265 1.1.1-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdmtx 0.7.8-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libebml 1.4.5-3
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.195-1
libepoxy 1.5.10-3
libev 4.33-5
libevdev 1.13.6-1
libevent 2.1.13-2
libfabric 2.6.0-1
libfdk-aac 2.0.3-2
libffi 3.7.1-1
libfido2 1.17.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfyaml 0.9.6-3
libgcc 16.1.1+r595+g171d15ac6959-1
libgcrypt 1.12.2-1
libgee 0.20.8-1
libgfortran 16.1.1+r595+g171d15ac6959-1
libgirepository 1.86.0-2
libgit2 1:1.9.6-1
libglvnd 1.7.0-3
libgnomekbd 1:3.28.1-2
libgomp 16.1.1+r595+g171d15ac6959-1
libgpg-error 1.61-1
libgudev 238-3
libheif 1.23.1-1
libhwasan 16.1.1+r595+g171d15ac6959-1
libice 1.1.2-1
libidn 1.44-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libisl 0.28-1
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1
libkexiv2 26.04.3-1
libksba 1.8.0-1
libkscreen 6.7.3-1
libksysguard 6.7.3-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.6.13-1
libliftoff 0.5.0-1
liblsan 16.1.1+r595+g171d15ac6959-1
libmakepkg-dropins 20-1
libmalcontent 0.14.0-4
libmanette 0.2.13-2
libmatroska 1.7.2-2
libmbim 1.34.0-1
libmd 1.2.0-1
libmm-glib 1.24.2-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmtp 1.1.23-1
libmysofa 1.3.4-1
libndp 1.9-1
libnet 2:1.3-2
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnftnl 1.3.1-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.58.0-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.8-1
libnsl 2.0.1-2
libntfs-3g 2026.7.7-1
libnvme 1.16.2-1
libobjc 16.1.1+r595+g171d15ac6959-1
libogg 1.3.6-1
libopenmpt 0.8.7-1
libp11-kit 0.26.4-1
libpaper 2.2.8-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6
libplasma 6.7.3-1
libplist 2.7.0-3
libpng 1.6.58-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libqaccessibilityclient-qt6 0.6.0-4
libqalculate 5.12.0-1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libquadmath 16.1.1+r595+g171d15ac6959-1
libraqm 0.11.0-1
libraw1394 2.1.2-4
librsvg 2:2.62.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libsass 3.6.6-2
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsigc++-3.0 3.8.1-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libssc 0.4.4-1
libssh 0.12.2-1
libssh2 1.11.1-7
libstdc++ 16.1.1+r595+g171d15ac6959-1
libstemmer 3.1.1-1
libsysprof-capture 50.0-4
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.2-3
libtorrent-rasterbar 1:2.1.0-3
libtpms 0.10.2-1
libtsan 16.1.1+r595+g171d15ac6959-1
libubsan 16.1.1+r595+g171d15ac6959-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburing 2.15-1
libusb 1.0.30-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libuv 1.52.1-1
libva 2.24.1-1
libva-utils 2.24.0-1
libvdpau 1.5-4
libverto 0.3.2-6
libvlc 3.0.23_2-9
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.16.0-3
libwacom 2.19.1-1
libwbclient 2:4.24.5-1
libwebp 1.6.0-2
libwireplumber 0.5.15-1
libwireplumber-4.0-compat 0.4.17-2
libwireplumber-4.0-compat-debug 0.4.17-2
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.8-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxklavier 5.4-7
libxml2 2.15.3-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
licenses 20240728-1
lilv 0.28.0-1
linux 7.0.5.arch1-1
linux-api-headers 7.1-1
linux-firmware 20260622-1
linux-firmware-amdgpu 20260622-1
linux-firmware-atheros 20260622-1
linux-firmware-broadcom 20260622-1
linux-firmware-cirrus 20260622-1
linux-firmware-intel 20260622-1
linux-firmware-mediatek 20260622-1
linux-firmware-nvidia 20260622-1
linux-firmware-other 20260622-1
linux-firmware-radeon 20260622-1
linux-firmware-realtek 20260622-1
linux-firmware-whence 20260622-1
linux-headers 7.0.5.arch1-1
litehtml 0.10-1
litehtml0.9 0.9-2
lld 22.1.8-1
llhttp 9.3.1-1
llvm 22.1.8-2
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lsof 4.99.7-1
lua 5.5.1-1
lua51 5.1.5-13
lua54 5.4.8-6
lutris 0.5.22-2
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
make 4.4.1-3
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.1.6-1
mesa-utils 9.0.0-7
meson 1.11.2-1
migraphx 7.2.3-4
milou 6.7.3-1
miniupnpc 2.3.3-3
minizip 1:1.3.2-3
miopen-hip 7.2.4-1
mkinitcpio 41-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
modemmanager-qt 6.28.0-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
msgpack-cxx 8.0.0-1
mtdev 1.1.7-1
namcap 3.6.0-3
nano 9.1-1
ncurses 6.6-2
netpbm 10.86.50-2
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.58.0-1
networkmanager-openvpn 1.12.5-1
networkmanager-qt 6.28.0-1
networkmanager-vpn-plugin-openvpn 1.12.5-1
nftables 1:1.1.6-3
ninja 1.13.2-3
nm-connection-editor 1.36.0-2
node-gyp 13.0.1-1
nodejs 26.5.1-1
nodejs-nopt 10.0.1-1
noto-fonts 1:2026.08.01-1
noto-fonts-emoji 1:2.051-1
npm 12.0.2-1
npth 1.8-1
nspr 4.39-1
nss 3.126-1
ntfs-3g 2026.7.7-1
ntfsprogs 2026.7.7-1
ntsync-autoload 1-1
numactl 2.0.19-1
nvidia-open-dkms 595.71.05-2
nvidia-utils 595.71.05-2
nvtop 3.3.2-1
ocean-sound-theme 6.7.3-1
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
onnxruntime-rocm 1.28.0-1
opencl-nvidia 595.71.05-2
opencore-amr 0.1.6-2
opencv 5.0.0-7
openexr 3.4.13-3
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openmp 22.1.8-1
openmpi 5.0.10-3
openpmix 5.0.11-1
openssh 10.4p1-3
openssl 3.6.3-1
openucx 1.20.1-2
openvpn 2.7.5-1
openxr 1.1.60-1
opus 1.6.1-1
orc 0.4.42-1
os-prober 1.84-1
ostree 2026.2-1
oxygen 6.7.3-1
oxygen-cursors 6.7.3-1
oxygen-icons 1:6.28.0-1
oxygen-sounds 6.7.3-1
p11-kit 0.26.4-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.1-1
pangomm-2.48 2.56.2-1
papirus-icon-theme 20260801-1
parted 3.7-1
patch 2.8-1
patchutils 0.4.5-1
pavucontrol 1:6.2-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-1
perl-class-inspector 1.36-10
perl-clone 0.50-1
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-file-sharedir 1.118-8
perl-html-parser 3.85-1
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.12-1
perl-http-daemon 6.17-1
perl-http-date 6.08-1
perl-http-message 7.04-1
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-json 4.11-1
perl-libwww 6.83-1
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-mime-base32 1.303-13
perl-net-http 6.24-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.35-1
perl-www-robotrules 6.03-1
perl-xml-parser 2.59-1
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkcs11-helper 1.31.0-1
pkgconf 3.0.5-1
pkgfile 25-2
plasma-activities 6.7.3-1
plasma-activities-stats 6.7.3-1
plasma-browser-integration 6.7.3-1
plasma-desktop 6.7.3-1
plasma-disks 6.7.3-1
plasma-firewall 6.7.3-1
plasma-integration 6.7.3-1
plasma-keyboard 6.7.3-1
plasma-login-manager 6.7.3-1
plasma-nm 6.7.3-1
plasma-pa 6.7.3-1
plasma-sdk 6.7.3-1
plasma-systemmonitor 6.7.3-1
